origin_id,origin_name,origin_lat,origin_lon,destination_id,destination_name,destination_lat,destination_lon,travel_time
4,Bronx NY,40.8447819,-73.8648268,1,57-59 East 11 Street,40.7331486,-73.9923546,33.5
4,Bronx NY,40.8447819,-73.8648268,2,817 Broadway,40.7331808,-73.9914967,33.5
4,Bronx NY,40.8447819,-73.8648268,3,31 Bond Street,40.7260895,-73.9936315,34.4
4,Bronx NY,40.8447819,-73.8648268,4,363 Lafayette Street,40.7269776,-73.9936315,34.1
4,Bronx NY,40.8447819,-73.8648268,5,137 2nd Avenue,40.7289918,73.9876548,30.2
4,Bronx NY,40.8447819,-73.8648268,6,155 West 23rd Street,40.743953,-73.99459,34.2
4,Bronx NY,40.8447819,-73.8648268,7,155 Avenue of the Americas,40.725395,-74.0048,39.2
4,Bronx NY,40.8447819,-73.8648268,8,13-15 West 27 Street,40.7445207,-73.98824,31.9
4,Bronx NY,40.8447819,-73.8648268,9,45 West 27 Street,40.7451715,-73.99003,32.9
4,Bronx NY,40.8447819,-73.8648268,10,920 Broadway,40.7395741,-73.98947,32.3
4,Bronx NY,40.8447819,-73.8648268,11,499 West 126th Street,40.8141211,-73.9557,26
4,Bronx NY,40.8447819,-73.8648268,12,461 West 126th Street,40.8136528,-73.95507,25.7
4,Bronx NY,40.8447819,-73.8648268,13,1825 Park Avenue,40.805205,-73.9386147,18.1
4,Bronx NY,40.8447819,-73.8648268,14,125 West 25 St,40.7447685,-73.9929717,34.7
4,Bronx NY,40.8447819,-73.8648268,15,31 West 27th Street,40.7449561,-73.9893974,32.5
4,Bronx NY,40.8447819,-73.8648268,16,71 Fifth Avenue,40.7363425,-73.9928281,34.8
4,Bronx NY,40.8447819,-73.8648268,17,606 Broadway,40.9978546,-73.8808421,27.5
4,Bronx NY,40.8447819,-73.8648268,18,335 Madison,40.7537571,-73.9783438,29.2
4,Bronx NY,40.8447819,-73.8648268,19,36 3rd Ave,40.7304732,-73.989476,31.6
4,Bronx NY,40.8447819,-73.8648268,20,Union Square,40.735715,-73.989732,32.4
4,Bronx NY,40.8447819,-73.8648268,21,462 Broadway,40.721013,-74.000398,36.7
,,,,,,,,
